City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
231,Bonavista,CA,60.62,light rain,48.6499,-53.1147,Abbott's Bed & Breakfast
233,Allapalli,IN,76.17,light rain,19.4167,80.0667,Hotel IK Residency
234,Saint-Philippe,RE,71.19,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
235,Mitsamiouli,KM,77.0,clear sky,-11.3847,43.2844,Foyer ADM
236,Carnarvon,AU,68.07,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
237,Cherskiy,RU,64.92,overcast clouds,68.75,161.3,Gostinitsa
243,Lagoa,PT,68.13,clear sky,39.05,-27.9833,Casa Das Faias
248,Ust-Ilimsk,RU,60.94,scattered clouds,58.0006,102.6619,Alenat Tsentr
249,Den Helder,NL,64.38,clear sky,52.9599,4.7593,Hotel Den Helder
251,Mola Di Bari,IT,77.92,clear sky,41.0609,17.0873,Hotel Gabbiano
252,Chokwe,MZ,63.75,scattered clouds,-24.5333,32.9833,Complexo Sonho Real
253,Los Llanos De Aridane,ES,67.75,broken clouds,28.6585,-17.9182,Valle Aridane
255,Zonguldak,TR,66.33,clear sky,41.25,31.8333,Süleyman Tez Ev
257,Dryden,CA,76.68,overcast clouds,49.7833,-92.7503,"Holiday Inn Express Dryden, an IHG Hotel"
260,Liku,ID,76.06,overcast clouds,-0.7275,119.8922,Wahyu
262,Nouadhibou,MR,69.82,clear sky,20.931,-17.0347,El Medina
263,Belyy Yar,RU,60.69,clear sky,53.6039,91.3903,Pasportnyy Stol
268,Dingle,PH,78.91,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
269,Alta Floresta,BR,76.73,clear sky,-9.8756,-56.0861,Floresta Amazonica Hotel
274,Kissidougou,GN,69.42,light rain,9.1848,-10.0999,Hôtel Mantis
275,Querecotillo,PE,74.55,clear sky,-4.8378,-80.6456,La casa de Roberto
276,Pathein,MM,78.01,overcast clouds,16.7833,94.7333,New Pammawaddy Hotel
278,Bereda,ES,61.57,scattered clouds,43.2686,-7.5406,Pazo de Verdes
279,Mahebourg,MU,71.26,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
282,Kitimat,CA,70.38,light rain,54.0524,-128.6534,Kingfish Westcoast Adventures Ltd. Kitimat Estuary Lodge B&B
283,Kamphaeng Phet,TH,74.37,overcast clouds,16.25,99.5,ฟาร์มแพะ หนองผักหนาม
284,Encheng,CN,76.05,light rain,22.1839,112.3026,Pinghu Hostel
286,Myitkyina,MM,77.45,moderate rain,25.3833,97.4,Shwe Phyu Hotel
287,Aksu,CN,73.76,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
288,Naze,JP,77.92,overcast clouds,28.3667,129.4833,奄美ポートタワーホテル
289,Marmaris,TR,78.78,clear sky,36.855,28.2742,Hawaii Hotel
291,Sitka,US,62.49,few clouds,57.0531,-135.33,Westmark Sitka
293,Chapada Dos Guimaraes,BR,67.66,clear sky,-15.4606,-55.7497,Pousada Morro Dos Ventos
295,Port-Gentil,GA,75.31,broken clouds,-0.7193,8.7815,Fengshui Residence
296,Kiunga,PG,72.63,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
298,Ponta Delgada,PT,68.72,scattered clouds,37.7333,-25.6667,Vila Nova Hotel
299,Kismayo,SO,76.19,broken clouds,-0.3582,42.5454,Agan-Hotel
300,Felanitx,ES,77.13,scattered clouds,39.4696,3.1483,Petit Hotel Hostatgeria Sant Salvador
301,Padang,ID,73.45,overcast clouds,-0.9492,100.3543,Mercure Padang
302,Shahpur,IN,74.44,moderate rain,16.7,76.8333,Sai Deluxe Shahapur
303,Oxbow,CA,69.75,moderate rain,49.2333,-102.1676,Bow Manor Motor Hotel
